date_time,tempC,humidity,windspeedKmph,pressure,precipMM
2024-01-01 00:00:00,15.2,65,12.5,1013,0.0
2024-01-02 00:00:00,14.8,68,14.0,1014,0.0
2024-01-03 00:00:00,16.1,62,11.2,1012,0.0
2024-01-04 00:00:00,17.5,58,10.0,1010,0.0
2024-01-05 00:00:00,18.2,55,15.5,1008,0.5
2024-01-06 00:00:00,16.9,72,18.2,1006,5.2
2024-01-07 00:00:00,15.0,80,20.1,1005,12.4
2024-01-08 00:00:00,13.5,85,16.4,1007,8.1
2024-01-09 00:00:00,14.2,75,12.0,1011,1.0
2024-01-10 00:00:00,15.8,66,9.8,1015,0.0
2024-01-11 00:00:00,16.4,60,11.0,1016,0.0
2024-01-12 00:00:00,17.0,57,13.2,1014,0.0
2024-01-13 00:00:00,18.5,52,14.5,1012,0.0
2024-01-14 00:00:00,19.1,50,16.0,1010,0.0
2024-01-15 00:00:00,18.0,64,17.8,1009,2.1
2024-01-16 00:00:00,16.5,78,22.0,1007,15.0
2024-01-17 00:00:00,14.0,88,25.4,1004,22.8
2024-01-18 00:00:00,13.2,82,18.0,1008,6.5
2024-01-19 00:00:00,15.1,70,13.5,1012,0.2
2024-01-20 00:00:00,16.8,63,10.5,1015,0.0
